# WAIS Divide WDC06A Core Density, clean version, 0 to 160 m
# Data collected by Daniel J. Breton using MADGE on 3x3x100 cm core sticks
# MADGE paper: www.igsoc.org/journal/55/194/t09J008.pdf
###############################################################################
# This is the CLEAN version of the data, meaning that most core breaks
# and core ends have been REMOVED from this dataset.  This dataset IS NOT
# recommended for accumulation rate studies because the core breaks / ends, 
# even though they appear as low density measurements, still accurately 
# represent additional accumulated mass at the site.
###############################################################################

Depth	Density
4.14	0.42293
4.143	0.46478
4.146	0.44484
4.15	0.4641
4.153	0.48153
4.156	0.46679
4.16	0.46542
4.163	0.47987
4.166	0.47937
4.17	0.45142
4.173	0.46451
4.176	0.48097
4.18	0.47529
4.183	0.47534
4.186	0.4642
4.19	0.47639
4.193	0.47517
4.196	0.45649
4.2	0.44922
4.203	0.4524
4.206	0.45943
4.21	0.44022
4.213	0.46919
4.216	0.45864
4.22	0.45243
4.223	0.45809
4.226	0.48685
4.229	0.46235
4.233	0.45538
4.236	0.47244
4.239	0.47023
4.243	0.45337
4.246	0.4911
4.25	0.45388
4.253	0.48761
4.256	0.49
4.259	0.48043
4.263	0.48981
4.266	0.50089
4.269	0.47394
4.273	0.49053
4.276	0.48593
4.279	0.47025
4.283	0.49128
4.286	0.4545
4.289	0.48441
4.293	0.48057
4.296	0.49178
4.299	0.47748
4.303	0.4816
4.306	0.47122
4.309	0.5005
4.313	0.47941
4.316	0.47835
4.319	0.49737
4.323	0.49004
4.326	0.50745
4.329	0.49966
4.332	0.50896
4.336	0.50349
4.339	0.50378
4.343	0.49923
4.346	0.51588
4.349	0.50665
4.353	0.50631
4.356	0.51531
4.359	0.5167
4.362	0.50424
4.366	0.48951
4.376	0.49503
4.379	0.49798
4.382	0.50086
4.386	0.50123
4.389	0.51051
4.392	0.50494
4.396	0.50343
4.399	0.51705
4.402	0.52351
4.406	0.50042
4.409	0.5216
4.412	0.509
4.416	0.50791
4.419	0.51444
4.422	0.51865
4.426	0.52442
4.429	0.51526
4.432	0.51092
4.436	0.51431
4.439	0.47206
4.442	0.462
4.446	0.46075
4.449	0.46863
4.452	0.47364
4.455	0.48242
4.459	0.48348
4.462	0.48924
4.465	0.49543
4.469	0.47447
4.472	0.50972
4.475	0.4982
4.479	0.51432
4.482	0.5076
4.485	0.5123
4.489	0.50461
4.492	0.50151
4.495	0.51388
4.499	0.484
4.502	0.46385
4.505	0.47742
4.509	0.49031
4.512	0.48555
4.515	0.49888
4.519	0.52143
4.522	0.51858
4.525	0.50603
4.529	0.52186
4.532	0.50929
4.535	0.45668
4.538	0.43869
4.542	0.46096
4.545	0.45303
4.548	0.42975
4.552	0.47476
4.555	0.47921
4.559	0.47888
4.562	0.44504
4.565	0.45234
4.568	0.4395
4.572	0.44776
4.575	0.51355
4.578	0.46366
4.582	0.45009
4.585	0.5307
4.588	0.48161
4.592	0.47629
4.595	0.45676
4.598	0.48961
4.602	0.47681
4.605	0.46752
4.608	0.4725
4.612	0.4944
4.615	0.47471
4.618	0.44342
4.622	0.47036
4.625	0.45953
4.628	0.44744
4.631	0.47648
4.635	0.45986
4.638	0.43485
4.641	0.43709
4.645	0.44757
4.648	0.46215
4.652	0.46252
4.655	0.47202
4.658	0.52313
4.661	0.47692
4.665	0.49615
4.668	0.50425
4.671	0.50518
4.675	0.51624
4.678	0.49905
4.681	0.51704
4.685	0.49239
4.688	0.49836
4.691	0.53042
4.695	0.50933
4.698	0.50959
4.701	0.52176
4.705	0.51689
4.708	0.50293
4.711	0.50962
4.715	0.51494
